totalScore,text,title
4.6,"The cleanliness is poor. Especially the Toilets. Otherwise, the management is good in taking care and in behaviour. But one thing is there can be improved communications between various departments of the Hospital.

But overall Experience is Positive",Vivekanand Hospital Bhubaneswar
4.6,Good facilities.,Vivekanand Hospital Bhubaneswar
4.6,Excellent,Vivekanand Hospital Bhubaneswar
4.6,Good services.,Vivekanand Hospital Bhubaneswar
4.6,"Good care, Thanks",Vivekanand Hospital Bhubaneswar
4.6,All services are excellent.,Vivekanand Hospital Bhubaneswar
4.6,Excellent services,Vivekanand Hospital Bhubaneswar
4.6,Good hospital.,Vivekanand Hospital Bhubaneswar
4.6,Everything is good,Vivekanand Hospital Bhubaneswar
4.6,"Some staff are not well behaved, they are irresponsible",Vivekanand Hospital Bhubaneswar
4.6,Some staff not well-behaved,Vivekanand Hospital Bhubaneswar
4.6,Excellent  service,Vivekanand Hospital Bhubaneswar
4.6,Staffs behavior very good.,Vivekanand Hospital Bhubaneswar
4.6,Good services,Vivekanand Hospital Bhubaneswar
4.6,Good,Vivekanand Hospital Bhubaneswar
3.7,Very poor hospital very bad tritment west of money no body come here thanks,SUM Hospital
3.7,ଅତି ଝବଡ ମେଡିକାଲ୍ ପୁରା ପଇସା ବର୍ବଦ୍ ଖାଲି ଶିକ୍ଷା ଓ ଅନୁସନ୍ଧାନ କରିବା ଶଳା ସିଏ ଶିଖିବେ ଓ ଅନୁସନ୍ଧାନ କରିବେ ଆମେ ଟଙ୍କା ଖର୍ଚ୍ଚ କରିବୁ ଆମେ ବରବାଦ ହେବୁ କେହି ବି ଅଠିକି ଆସନ୍ତୁ ନାଁ ହିଁ ଫସିଯିବେ,SUM Hospital
3.7,Sum hospital is very bad tritment west of money no good doctor and not a good nurse no tritment only experiment sikhya o anusandhan only anusandhan karenge and sikhenge tritment Nehi karenge tumara Mony bi west hoga time bi west hoga aur dard bi badhega very poor hospital very bad don't go here,SUM Hospital
3.7,Good place,SUM Hospital
3.7,Pura bakbas service,SUM Hospital
3.7,Khali BSKY Card ru tanka katuchanti ...Kichhi bi treatment nahi 10-15days patient ku pakai rakhibe then discharge kari tanka katiki me be..Total fraud in SUM hospital,SUM Hospital
3.7,Very bad experience. Not enough beds available for the patients and general ward wash rooms are very dirty and all bathroom stuffs are broken no water in the washroom. Very pathetic and horrible situation. Poor management and service. Overall very worst experience ever.,SUM Hospital
3.7,Very Bad Experience This Hospital,SUM Hospital
3.7,Nursing staff is very bed beaver & not responsible pasend,SUM Hospital
3.7,It's really disappointed,SUM Hospital
3.7,"Their service is very bad. They will do it well when there is work, and when the work is completed, it does not matter to them whether the patient lives or dies. They have no responsibility after the patient is discharged. Even if a patient wants to call and ask at an urgent time, these people do not receive the call । How can these people be so irresponsible? It has been 8 days and I am irritated by this but no one has received it. If something happens to the patient then who will be responsible for it?",SUM Hospital
3.7,"I am writing from hospital now... my father has been admiited here... The worst service I would say... only because of doctor Priyanka Samal, I came here... doctor Priyanka Samal is very good... but how the hospital operates is really poor. Attendant has to go here and there...ward manager, ward staffs are asking for Insurance approval and are delaying the treatment because of Insurance approval delay... can you imagine, what kind of training they need... purely unprofessional from top to bottom... every level is unprofessional... no process is automated. Staffs' behavior is really poor. They don't know what they supposed to do as part of their job... even a small smiley face you won't find when nurses talk...
I would never come here again... if any word worse than worst, I would have taken that...",SUM Hospital
4.7,Execelent service providers and staffs are very good,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Very good service. I have been visiting this hospital for all my health related issues and really satisfied with their treatment and service.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"The doctors treatment andall the paramedics assistance are too good ,all are cooperative,attentive and cordial .the clean ness and ambiance are as expected.may by the gress of  god the hospital may expand, devlope  and  provide better treatment and facilities with a sustainable rate for the common people of the state of odisha and patient of that .",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"One of the best medical in bhubaneswar,the environment is very good and all the services provided by the hospital are also good, well mannered staff. Thank you so much for the services.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,The treatment was good after which I improved a lot and regained my health fully. Thanks to Dr Srikant Dhar and team.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Best corporate hospital in odisha staff and Dr are very nice,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"All services provided by the team is really excellent for which we will choose this hospital for any type of health issues in future.
Thanks for everything.
Bed no.5005",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Cooperative staff , nurse and duty doctor s. good hygiene is maintained . Insurance team is supportive.Had a wonderful treatment experience with cardiologist Dr Sarath.Happy overall",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Had treatment of my dad in sumum hospital , Hospital service is good,doctors are very friendly and cooperative.House keeping is very good and response timely.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"We are thankful that we are here for our Treatment and we are Thankful to dr Bikash Ranjan Behera .all staff s house keeping,Nursing, FB, security ip coordinator are very good and Their behaviours make us comfortable , Hospitality team working very professional that' why hospital neat and clean haygine also many many thanks to dr Bikash sir for his Unforgotton Treatment
Thank to All &Sum ultimate Medicare",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"I appreciated with medical staff provided thorough compassionate and effective treatment. Well maintened and friendly environmental. Nursing, ip coordinator give all update whatever we need from them. Thank you",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"We recently had a medical urgency and visited SUM Ultimate. Everything was seamless. The patient was well-attended by everyone. Dr Satyajit Rath and his team ensured she was completely comfortable before the procedure. The post operative procedures including housekeeping, food, assistance from nurse station and insurance process was smooth.

Highly recommendable for best medical services.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Good atmosphere .. good doctors and overally pleasant experience. Feeling greatful coming to this hospital.nursing and housekeeping staff are backbone for us. Ontime services they have given to my mother. Dr sudam sarangi sir also done good treatment.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Very responsible staff and they treat you very well and are so kind to the patient.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"I would like to share my experience about this hospital, all the services are good, staff behaviour is also good.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,I am satisfied with the service of the hospital and doctors also. The stars are also very helpful and there behavior also very polit.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Staff and Dr are very nice,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,All staff and services are excellent. Thanks for taking care of my wife and baby .all staff are very supportive and caring. M fully satisfied. Sure recommend this hospital.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.4,Best treatment in utkal,UTKAL HOSPITAL
4.4,Nursing staff were best in utkal,UTKAL HOSPITAL
4.4,Health checkup was good by coordinator,UTKAL HOSPITAL
4.4,Health check up was good but the ultrasound department was pathetic waited around 3 hrs for check up,UTKAL HOSPITAL
4.4,Smoothly health check up was done,UTKAL HOSPITAL
4.4,Health check up was good,UTKAL HOSPITAL
4.4,Well Service,UTKAL HOSPITAL
4.4,Salil sir is very good,UTKAL HOSPITAL
4.4,Amitabh rath is good doctor,UTKAL HOSPITAL
4.4,housekeeping is not good but doctor are nice,UTKAL HOSPITAL
4.4,Doctor are good in utkal,UTKAL HOSPITAL
4.4,Dr Lalit barun is good doctor,UTKAL HOSPITAL
4.4,Good health check up,UTKAL HOSPITAL
4.6,Chandan Kumar Panda,Sunshine Hospital
4.6,Dr proyod ku jena,Sunshine Hospital
4.6,Sretank das,Sunshine Hospital
4.6,Saumyashree Sagar Nayak,Sunshine Hospital
4.6,This hospital has been excellent in providing medical care for 40 years of my life,Sunshine Hospital
4.6,Pk sahoo sir,Sunshine Hospital
4.6,Ritesh Acharya,Sunshine Hospital
4.6,Debasish sarangi,Sunshine Hospital
4.6,Dr chandan kumar panda,Sunshine Hospital
4.6,Chandan kumar panda,Sunshine Hospital
4.6,Debasish sarangi,Sunshine Hospital
4.6,Gourabkumar nayak,Sunshine Hospital
4.6,Great service,Sunshine Hospital
4.6,Dr ritesh acharya,Sunshine Hospital
4.5,All nurse and stuffs behaviour is very good and caring like mother. And special thanks to Chinmay sir and Alok sir. It was a great experience.,Health Village Hospital
4.5,"Best experience, The hospital is quite good and the staff are very nice",Health Village Hospital
4.5,"I wanted to express my heartfelt gratitude for the exceptional care I received during my recent stay at your hospital. The level of professionalism, compassion, and commitment displayed by the entire staff was truly commendable. From the nurses to the doctors, everyone contributed to making my experience as comfortable and positive as possible.

Thank you for your unwavering dedication to providing top-notch healthcare services. Your efforts have not gone unnoticed, and I am truly grateful for the outstanding support I received during my time at Health Village Hospital",Health Village Hospital
4.5,Best hospital and staff also good,Health Village Hospital
4.5,"Outstanding performance by doctor,  nursing staff and others.",Health Village Hospital
4.5,Good Hospital,Health Village Hospital
4.5,"The hospital has very good doctors and medical facility. The staff is excellent. It was very neat and clean. We were blessed with a baby girl by Dr. Smita mam. She is the best gynecologist in city. From the past year, nice experience with Health Village.

Only issue with OPD waiting hall and common toilet. Very less seating capacity and only one common toilet that too very bad.",Health Village Hospital
4.5,Good experience and medical staffs are also well behaviour,Health Village Hospital
4.5,It was a very good experience in terms of paramedical staff services and proper treatment.,Health Village Hospital
4.5,Health village hospital is best hospital because hospital staffs are friendly services and dr. Chinmay sir and madam both best .,Health Village Hospital
4.5,"Staffs were not cooperative.Their  Behaviour was not only bad but worst . This,( hospital) should be like homely n like temple for patients. I totally upset for this institution. Dr. K. Boipai.",Health Village Hospital
4.5,Dr.Biranchi Narayan Lenka is very rude and highly unprofessional.He prescribed my father to take antibiotics before food which is not recommended at all.When we called his personal number he misbehaved with my father and arguing that he has prescribed to take antibiotics after food.Even he told why are you calling me when you have the prescription with you.Won’t recommend this hospital and doctor to anyone.It was my mistake to visit this hospital as it has empanelment with my insurer.This doctor doesn’t know how to behave with a senior citizen.It’s high time hospital management should educate their doctors how to behave.,Health Village Hospital
4.5,Smita madam is the best Gynaecology doctor ❤️,Health Village Hospital
4.5,One of the best hospital in Twin city- Cuttack- Bhubaneswar,Health Village Hospital
4.4,Great staff best health check up,UTKAL HOSPITAL
4.4,Totally worthless hospital.....ghatiya quality doctors......ghatiya quality hospital administration........only time weast and energy weast and money weast of Patients and Attenders......no manner of every staff kindly request don't visit this hospital....,UTKAL HOSPITAL
4.4,"Although we touched on this earlier, it bears repeating. If you have a way to improve wait times in your practice Dr Amitav Rath",UTKAL HOSPITAL
4.4,"Very poor service in terms of Nursing service in ward/cabin. Not at all cooperative and shows very causal approach even if the patient is serious. Due to their ignorance and lack of technical knowledge (which cannot be acceptable from any such big hospital), today I lost an family member. Not at all advisable for any serious patients.",UTKAL HOSPITAL
4.4,Good health checkup,UTKAL HOSPITAL
4.4,Dr gourav das and Dr sanjeev mishra are very cooperative,UTKAL HOSPITAL
4.4,Dr chandrabhanu is good doctor,UTKAL HOSPITAL
4.4,Dr Alakta das is good consultant,UTKAL HOSPITAL
4.4,Dr Gourav das is good consultant,UTKAL HOSPITAL
4.4,Dr satyabrat is very good oncologist,UTKAL HOSPITAL
4.4,Cooperative staff dr Chinmay is good doctor,UTKAL HOSPITAL
4.4,Dr sanjay mishra is good consultant,UTKAL HOSPITAL
4.4,Highly satisfied,UTKAL HOSPITAL
4.4,Great staff,UTKAL HOSPITAL
4.4,Dr Gourav das is good doctor,UTKAL HOSPITAL
4.4,Amazing experience at utkal,UTKAL HOSPITAL
4.4,"No information about routine call ,no cooperation during ICU visit.Not allowing more than 2 person within 1 hr visit",UTKAL HOSPITAL
4.6,Saumyashree Sagar nayak,Sunshine Hospital
4.6,Debasis saramgi,Sunshine Hospital
4.6,Chanda kumar panda,Sunshine Hospital
4.6,Very nice service...and very good and corporate doctors....so good hospital...,Sunshine Hospital
4.6,Good faculties and management ❤️,Sunshine Hospital
4.6,Aditya prasad,Sunshine Hospital
4.6,Very much good,Sunshine Hospital
4.6,It is a very useful and helpful ❤️,Sunshine Hospital
4.5,"It was my first surgery experience, The health village staffs are so nice and cooperative. Overall it was a great experience. Special thanks to Nursing staffs.",Health Village Hospital
4.5,Dr Saswat Samant is a very good surgeon . My mother went through TKR. The surgery was successful. This is a small but good hospital. Good care was taken by the nurses during the stay. OnTime medication and care helped her recover quicker. Sanitation was good. Very convenient location. Food and other supporting things are available near hospital.,Health Village Hospital
4.5,"*Need to improve in hygiene.
*Behaviour of security in ICU with attendant is not good
*There is no any systematic process in this hospital
*TPI employees are not coming in rightime
*The hospital is not patient friendly",Health Village Hospital
4.5,One star less due to the condition of bathroom no so good but all other services touch the expectations . The behaviour of nursing staff very Good,Health Village Hospital
4.5,Very Good Hospitality and treatment..thanks to doctor and all medical staffs..,Health Village Hospital
4.5,Excellent service,Health Village Hospital
4.5,Sister is very caring & staff is codynet,Health Village Hospital
4.5,Very excellent service,Health Village Hospital
4.5,All facilities are very well n care,Health Village Hospital
4.5,Everything is good from doctors to all staff are very cooperative.,Health Village Hospital
4.5,Excellent good job,Health Village Hospital
4.5,Superb service . 24/7 attendance to patients .,Health Village Hospital
4.5,Good service,Health Village Hospital
4.5,"Certainly, I'd be happy to help you draft feedback for Health Village Hospital. Please provide some specific details or experiences you'd like to include in the feedback, such as the quality of care, staff interactions, cleanliness, or any particular event you'd like to highlight. The more specific you can be, the more effective the feedback will be.",Health Village Hospital
4.5,Good,Health Village Hospital
4.6,"Good  care,Thanks  Vivekananda hospital.",Vivekanand Hospital Bhubaneswar
4.6,All services are good.,Vivekanand Hospital Bhubaneswar
4.6,Good facilities,Vivekanand Hospital Bhubaneswar
4.6,Excellent,Vivekanand Hospital Bhubaneswar
4.6,Good,Vivekanand Hospital Bhubaneswar
4.6,Commitment is not like we expected ....hope they see this comment and improve there service and management and commitment ...hope this will help other and you realise the mistakes hospital personal make....,Vivekanand Hospital Bhubaneswar
4.6,Excellent services,Vivekanand Hospital Bhubaneswar
4.6,Excellent service by staff very caring and understanding staff also Dr bikash Agarwal he is a very humble person we are very happy to have like this hospital,Vivekanand Hospital Bhubaneswar
4.6,v good service,Vivekanand Hospital Bhubaneswar
4.6,"Good care, Thanks",Vivekanand Hospital Bhubaneswar
4.6,Excellent facilities.,Vivekanand Hospital Bhubaneswar
4.6,"Good services provided by all the staffs of Vivekananda Hospital, Bhubaneswar.",Vivekanand Hospital Bhubaneswar
4.6,Excellent,Vivekanand Hospital Bhubaneswar
4.6,All staffs are cooperative.,Vivekanand Hospital Bhubaneswar
4.6,Good treatment,Vivekanand Hospital Bhubaneswar
4.6,Excellent care,Vivekanand Hospital Bhubaneswar
4.6,Good hospital,Vivekanand Hospital Bhubaneswar
4.6,"All facilities are good ,we are satisfied.",Vivekanand Hospital Bhubaneswar
4.7,"Seamless experience of OPD consultation with Medicine, Neuro, Ortho, Pulmo . Special Gratitude to Ms. Debasmita ma’am & Mr. Chinmaya Mishra . God Bless",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Good services and operational procedures.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"During our stay at Sum Ultimate Hospital, we experienced exceptional care and service. The medical staff were highly professional, compassionate, and attentive to all our needs, ensuring a comfortable and reassuring experience. The facilities were clean and well-maintained, providing a peaceful environment conducive to recovery. Administrative processes were efficient and smooth, minimizing stress during a challenging time. We are deeply grateful for the dedication and support provided by the entire team at Sum Ultimate Hospital and wholeheartedly recommend their services to anyone seeking quality healthcare. Thank You.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"I am happy with my treatment, special thanks to all the hospital staff for the care and support. I like the hospital environment .",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Wanderful experience with Sum ultimate medicare.staff are excellent, hospitality team working very professional, very good hygiene mainten by House keeping staff.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Great,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,All are very friendly..nurse is too good and his behaviour..also goodDr Santosh Kumar sahoo is very sincerely dr..and surgery is too good,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Good service ,
All staff are friendly
Nd hospital facility gud",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"All the medical formalities and behavior is very good basically doctor Dr.Tapan Sir is a very good doctor of Sum Ultimate Hospital, Bhubaneswar.
We will prefer this Hospital for any kind of health issues In future.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Excellent,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"I get best service in this hospital the staff (Doctor, staff ,house keeping ) all the staff are provided best service and behavior are best.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"According to me, this is the first time I am getting treatment in such a hospital which has so many facilities. After a patient gets admitted here, the staff here will take care of the patient and everything here is very clean, the rooms are cleaned and sanitized 4 to 5 times a day. All the staff here is very friendly and one more thing, here you will get the facility of BIJU SWASTHYA KALYAN YOJANA CARD, which is a very big thing for us. Thank you Dr. Bikash Ranjan Behera sir & Thank you sum ultimate ❤",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"The service is very good, all the staffs are very supportive. I have a good experience in sum ultimate, my treatment period done smoothly, Specially thanks to Dr. Subhasis Mishra sir, he is very polite and friendly towards patients and also thanks to all -2 staffs.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,All staff are good services & best treatment,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Bed no 3005
All diet offered by medical is fully satisfactory. And beheaveior of All staff are very good and gentle also.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Good hospital,Doctors & Other staf's behavior very appriciable.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,I really appreciate all the doctors and nurses for their commitment. It was positive experience since admission till discharge. Special thanks to Dr Satyajit Rath & Dr Chinmayee Kar.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
3.7,Nephrology & Urology biling staff is not on time . Always come at late after 9:30 am.,SUM Hospital
3.7,Worst experience ever..the never receive your call even if there is an emergency,SUM Hospital
3.7,"Doctor consultation is very good,but hospital treatment worst.all sis students are good behaviour persons.Doctors are not coming for checkup.when rules 2times a day.hospital neat and clean .",SUM Hospital
3.7,"Despite reading those negative comments, we have come to this hospital. My mother has problem of gall stones in gall bladder and in CBD i,e common bile duct. 1st the stones were melted through the process --due to they were very small size (1 to 2mm)--of ERCP in gastroenterology dept. & Dr.jimmy sir is very cordial and helping nature. Then we got discharged from the hospital after 3 to 4 days and was prescribed to revisit the hospital again for the gall stones surgery. Now we have come and dr. Senapati sir is very calm and composed guy Outta no where. My mother was undergone with laparoscopic surgery then stones got removed. Overall doctors and ward Didi's are very good, security guards are also doing their job heartly as well sweepers are also very good and doing their duty respectfully. But their is one negative about this is sewerage system, toilets  are pathetic, in floor 1 surgery ward their is only one toilet in which male and female get into. Urine and stools are also scattered allwheres This is actually a concern of infections and multiproblems. hence, this is a request to the owner sahab to place a myriad toilets separately for male and females.
After all a great thank you to all....",SUM Hospital
3.7,Hospital running with Junior Doctor in ICU with less experienced and very arrogant in behavioural. They also not bothering the emotions.,SUM Hospital
3.7,"NO ONE PICKS UP THE CALL to the HOSPITAL LANDLINE NO. AVAILABLE IN THE WEBSITE .... BAD SERVICE, What if any Emergency ????",SUM Hospital
3.7,Worse experience ever. All doctors all nurse all staffs are irresponsible towards patients. We are middle class family so they tourcher us.they told us to go a government hospital which is suitable for us because we don't have money.,SUM Hospital
3.7,"See the condition of the roof of this hospital, always leaking water into the patient’s bed . And there staf cldnt listend to any one . So much disrespectfull .",SUM Hospital
3.7,I visited endocrine dr he is very nice doctor.but in that security behaviour is very bed and rough.,SUM Hospital
3.7,"Vultures trying to extract the last bit of money and not interested in actual diagnosis. A hospital without empathy, take your enemy there not your loved one.
Staff is so hopeless, their carelessness could easily cost someone’s life.
Shame on SUM.",SUM Hospital
3.7,"Absolute worst experience
No management system whatsoever & lack of seriousness. Everything is haywired and none of the staff members gives you an absolute response about anything. Save your time and money and visit any other Hospital if you want to save yourself from the mismanagement and hassle.",SUM Hospital
4.6,Good hospital,Vivekanand Hospital Bhubaneswar
4.6,"Dr. Gyanandra Sathua Mohapatra, is one of the finest doctor and enders very nice service. Thank You",Vivekanand Hospital Bhubaneswar
4.6,This hospital is bast and hospital  member very good,Vivekanand Hospital Bhubaneswar
4.6,Everything is good.,Vivekanand Hospital Bhubaneswar
4.6,All facilities are good,Vivekanand Hospital Bhubaneswar
4.6,"Very good service provide in Vivekananda hospital,bbsr",Vivekanand Hospital Bhubaneswar
4.6,Good sevices.,Vivekanand Hospital Bhubaneswar
4.6,Good facilities.,Vivekanand Hospital Bhubaneswar
4.6,"nice Service With Very Caring Doctor and Sister, And Management Staff's are Very Cooperative.",Vivekanand Hospital Bhubaneswar
4.6,Best medical in the bbsr,Vivekanand Hospital Bhubaneswar
4.6,"Good facilities, we are satisfied.",Vivekanand Hospital Bhubaneswar
4.6,Excellent care,Vivekanand Hospital Bhubaneswar
4.6,Best Hospital,Vivekanand Hospital Bhubaneswar
4.6,Staffs are very cooperative.,Vivekanand Hospital Bhubaneswar
4.6,"Good services, Thanks",Vivekanand Hospital Bhubaneswar
4.6,We are very much satisfyed with this hospital all facilities are good.,Vivekanand Hospital Bhubaneswar
4.6,"Very hygiene about clearness of hospital, all staffs behavior and treatment in this hospital is very good. We are very much satisfied. Thank You Vivekananda Hospital",Vivekanand Hospital Bhubaneswar
4.6,Good Doctor and staffs.,Vivekanand Hospital Bhubaneswar
4.6,Excellent care.,Vivekanand Hospital Bhubaneswar
4.6,All facilities are excellent.,Vivekanand Hospital Bhubaneswar
4.3,"In care hospital,the department of ICCU IS ilke a haven for us,They provide world-class treatment.I never forget Iccu brother subham,He is such a great man","CARE Hospitals, Bhubaneswar"
4.3,Good,"CARE Hospitals, Bhubaneswar"
4.3,No 1 care hospital,"CARE Hospitals, Bhubaneswar"
4.3,"Doctor Tanmaya Kumar das cardiologist is the best doctor, behaviour of the doctor was soo nice that I can't explain,,","CARE Hospitals, Bhubaneswar"
4.3,"All are better even treatment, sarvice ,food all thing better.","CARE Hospitals, Bhubaneswar"
4.4,All staffs behaviour are good. Clean hospital and good hospitality.,UTKAL HOSPITAL
4.4,Great check up,UTKAL HOSPITAL
4.4,Good facilities,UTKAL HOSPITAL
4.4,Good hospitality,UTKAL HOSPITAL
4.4,Dr bijay is good doctor,UTKAL HOSPITAL
4.4,Health checkup was good,UTKAL HOSPITAL
4.4,Health checkup was good,UTKAL HOSPITAL
4.4,Good facilities,UTKAL HOSPITAL
4.4,Amazing experience,UTKAL HOSPITAL
4.4,House keeping staff are best,UTKAL HOSPITAL
4.4,Good health check up,UTKAL HOSPITAL
4.4,Today is 21 August. We are here for ultrasound. It has been almost 3hrs we are waiting for but they are not even responding us. We are on 8 number but they are breaking the numbering system. Why there is even a numbering system. Staff are also rude.,UTKAL HOSPITAL
4.4,Best health checkup,UTKAL HOSPITAL
4.4,Icu department is best in utkal,UTKAL HOSPITAL
