"price","likesCount","reviewsCount","totalScore","rating","reviewerNumberOfReviews","text","name","title","stars"
,"0","1898","4.6",,,"All facilities are good, staffs behaviour very good too.","Prasanta Sahu","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"All facilities & staffs are good. We are overall satisfyed.","Laxmi Charu","Vivekanand Hospital Bhubaneswar","5"
,"0","1898","4.6",,,"All facilities are good, staffs behaviour and cleanness was absolutely good. We are overall satisfied.","Swarup Kumar Sahoo","Vivekanand Hospital Bhubaneswar","5"
,"1","651","4.5",,,"Very Bad experience. even though alternative issue arise because of them, they are not ready to accept the same. Behaving like nothing happened. and asking to consult another doctor of the same compartment by charging extra money. All need to avoid this medical.","Kishan Chandra Patra","Health Village Hospital","1"
,"0","651","4.5",,,"Doctors consultancy is really excellent. All the nursing & house keeping staffs are very cooperative. Over all atmosphere is fabulous. Only thing is that the toilets & bathrooms need to be refurbished.","himadri mohapatra","Health Village Hospital","5"
,"0","651","4.5",,,"A Good hospital and All staffs behavior nice 🤗","Juli Pakal","Health Village Hospital","5"
,"3","651","4.5",,,"I wanted to express my heartfelt gratitude for the exceptional care I received during my recent stay at your hospital. The level of professionalism, compassion, and commitment displayed by the entire staff was truly commendable. From the nurses to the doctors, everyone contributed to making my experience as comfortable and positive as possible.

Thank you for your unwavering dedication to providing top-notch healthcare services. Your efforts have not gone unnoticed, and I am truly grateful for the outstanding support I received during my time at Health Village Hospital","Somesh Mohanty","Health Village Hospital","5"
,"0","651","4.5",,,"As price it's one of the best hospital in area!
Thank you to Dr Smita Sarangi, and Dr Chinmay Chiranjeevi Samal! Amezing Doctors!!
Both of them one of best gynecologist & plastic surgeon..","PREMRAJ HALDER","Health Village Hospital","5"
,"2","651","4.5",,,"Health village hospital is better than other hospital. The doctor & sister behave very carefully, they treatment like mother and father, I got high class treatment, thank you so much health village staff 👍","Bishal Samal","Health Village Hospital","4"
,"0","651","4.5",,,"Hospital service is very good. Staff behavior is good. Overall the facilities of hospital is good.","SOMANATH PRUSTY","Health Village Hospital","5"
,"1","651","4.5",,,"All nurse and stuffs behaviour is very good and caring like mother. And special thanks to Chinmay sir and Alok sir. It was a great experience.","Raj Ghosh","Health Village Hospital","5"
,"1","651","4.5",,,"The hospital has very good doctors and medical facility. The staff is excellent. It was very neat and clean. We were blessed with a baby girl by Dr. Smita mam. She is the best gynecologist in city. From the past year, nice experience with Health Village.

Only issue with OPD waiting hall and common toilet. Very less seating capacity and only one common toilet that too very bad.","Subhashis Ray","Health Village Hospital","5"
,"0","651","4.5",,,"Chinmay sir is an excellent doctor. The way he describes the process of the operation to be done to the patients. The hospital is good but services sucks at times. Quick service and hospitality is a greater concern to be fixed from the staff. Nurses have done great.","Ritesh Nanda","Health Village Hospital","4"
,"1","651","4.5",,,"My Uncle was admitted here and the treatment was first class. Dr. Chinmaya Sir is gem of a human being along with being a great Doctor.  The staffs are also good and even the housekeeping was very efficient.  I would definitely recommend this hospital.
It was a Great experience..The support staffs and nurses was outstanding... Everything is crystal and clear from admitting the patient to discharge...I will recommend to my friends and relatives.Thank you ''Helath Village Hospital'' for amazing services...","harry biswal","Health Village Hospital","5"
,"0","651","4.5",,,"The hospital has very good doctors and medical facility.","Swatiswarupa Mahapatra","Health Village Hospital","5"
,"0","651","4.5",,,"Best experience, The hospital is quite good and the staff are very nice","Sonu Pratihari","Health Village Hospital","5"
,"0","651","4.5",,,"Very good hospital.Full neat and clean ,very caring and good behavior of staff.Slightly Higher cost  hospital but justified because thier service is good.Mo godo operation heithila (Knee).1 year complete hela .Ebe mu pura fine .Thanks to Highly talented doctor.Highly recommend With out a doubt.why people choose Vizag ,jetebele odisha re ete bhala service dia hauchi.","Ashish Panigrahy","Health Village Hospital","5"
,"1","651","4.5",,,"Dr Saswat Samant is a very good surgeon . My mother went through TKR. The surgery was successful. This is a small but good hospital. Good care was taken by the nurses during the stay. OnTime medication and care helped her recover quicker. Sanitation was good. Very convenient location. Food and other supporting things are available near hospital.","Ipsit Samanta","Health Village Hospital","5"
,"0","651","4.5",,,"Certainly, I'd be happy to help you draft feedback for Health Village Hospital. Please provide some specific details or experiences you'd like to include in the feedback, such as the quality of care, staff interactions, cleanliness, or any particular event you'd like to highlight. The more specific you can be, the more effective the feedback will be.","OM PRAKASH SWAIN","Health Village Hospital","5"
,"2","651","4.5",,,"It was my first surgery experience, The health village staffs are so nice and cooperative. Overall it was a great experience. Special thanks to Nursing staffs.","Siddhant Panigrahi","Health Village Hospital","5"
,"1","651","4.5",,,"Please look into the matter first at reception…. It’s miserable to see n experience a water dropping ac with a small stand fan at reception. Patients waiting there for hours but there is no ac working n no fan and no space at all…pls 1st look into it then ll review about treatment… thanks!🙏…

*Obviously doctor n treatment is good* but some patient ll die in suffocation in reception hall only if it is not managed well.

Dr. Sumit is very good surgeon with good behaviour.. I highly recommend everyone","Smita Mishra","Health Village Hospital","5"
,"4","651","4.5",,,"Staffs were not cooperative.Their  Behaviour was not only bad but worst . This,( hospital) should be like homely n like temple for patients. I totally upset for this institution. Dr. K. Boipai.","Krushna Boipai","Health Village Hospital","1"
,"1","651","4.5",,,"Dr.Biranchi Narayan Lenka is very rude and highly unprofessional.He prescribed my father to take antibiotics before food which is not recommended at all.When we called his personal number he misbehaved with my father and arguing that he has prescribed to take antibiotics after food.Even he told why are you calling me when you have the prescription with you.Won’t recommend this hospital and doctor to anyone.It was my mistake to visit this hospital as it has empanelment with my insurer.This doctor doesn’t know how to behave with a senior citizen.It’s high time hospital management should educate their doctors how to behave.","Devi Prasad Sahoo","Health Village Hospital","1"
,"1","651","4.5",,,"I have an excellent experience with Health Village Hospital and their hospitality. All staffs are good and everything neat and clean there. The best part of my experience is Dr Smita Sarangi. The best Doc I have ever meet.. very caring, very kind, so humbel and also always available whenever you require. We contact her by phone  also. In my view she is the  best gynecologist at BBSR..","Yashvardhan Mishra","Health Village Hospital","5"
,"0","651","4.5",,,"It was a Great experience..The support staffs and nurses was outstanding... Everything is crystal and clear from admitting the patient to discharge...I will recommend to my friends and relatives.Thank you ''Helath Village Hospital'' for amazing services...","Lija Lija","Health Village Hospital","5"
,"0","651","4.5",,,"Very Good Hospitality and treatment..thanks to doctor and all medical staffs..","SURYA PRASAD JENA","Health Village Hospital","5"
,"5","651","4.5",,,"My father was admitted here and the treatment was first class. Dr. Chinmaya Sir is gem of a human being along with being a great Doctor.  The staffs are also good and even the housekeeping was very efficient.  I would definitely recommend this hospital","srikant mishra","Health Village Hospital","5"
,"0","651","4.5",,,"Very good service.Hospitality is good,staffs behaviour is also good.","Rashmita Mouji","Health Village Hospital","4"
,"2","651","4.5",,,"*Need to improve in hygiene.
*Behaviour of security in ICU with attendant is not good
*There is no any systematic process in this hospital
*TPI employees are not coming in rightime
*The hospital is not patient friendly","SHRABAN KUMAR RANA","Health Village Hospital","1"
,"1","651","4.5",,,"One star less due to the condition of bathroom no so good but all other services touch the expectations . The behaviour of nursing staff very Good 👍👍👍","manas mohanta","Health Village Hospital","4"
,"0","651","4.5",,,"The nursing staffs and doctrs are very co-operative.
The neatness and cleanliness is very well maintained.
Would recommend this hospital for all.","Kaushik` Pattojoshi","Health Village Hospital","5"
,"0","651","4.5",,,"I'm very much satisfied with their care and motivational supports me feel better to improve my health condition. All staffs and nurses are very good...Thank you so much Health Village Hospital...😇","Pritipallabi Swain","Health Village Hospital","5"
,"2","651","4.5",,,"Best hospital as far i have seen. I had done my tonsillectomy here and stayed for 3days. The room charges are fair and their service is unbelievable. They only charge nursing fee 300 rs. As compared to other private hospitals it is too less. The rooms were hygienic and clean. The staff are well behaved and they serve tremendously and the hospital is also very well equipped and hence it is small (only 60 beds) and 4 stored building. The patient lift and passenger lift are separate also they got staircase and also canteen food is available for breakfast, lunch and dinner. (veg and non-veg!). The admission and discharge process is too fast and the doctors are highly trained and professional. So i would recommend the hospital for all.","Satyam Swaraj Mohanty","Health Village Hospital","5"
,"0","651","4.5",,,"I was suffering from kidney hydronephrosis from last three month.initially I went a well known private hospital of bbsr. they done my all test which r require for the surgery.thats worth approximately 12 to 13 thousands..then they said me that"" your surgery will quit delay due to surgery equipment problem"" at last they stop responding me.after waiting them for a month.i came health village hospital..which service is excellent.all doctors, nursing staff,house keeping staff all r very cooperative,it is so clean,hygenic and well maintaine.they solve my problem within 4-5 days. Today I m ready for discharge.Treatment cost is also affordable.they provide quick service.i m very happy with this hospital. I would like to a big thanks again to all the team","soren soren","Health Village Hospital","5"
,"8","651","4.5",,,"Recently my mother was admitted to this hospital due to dengue and was checked by their medicine doctor. She was admitted to the hospital and was discharged recently. Today we went for the follow up check for which a TPC lab test was required. So I did my lab test at the hospital and to cross check I also did the lab test at an well known outside pathology lab. The lab reports were too different. The TPC reports difference between the hospital and outside lab was around 30000 in which the hospital was lesser. Due to this difference I consulted the doctor but to my surprise he did not even look into the report and threw it. We had waited around 1.5 hrs for his visit. He said the lab reports of the hospital were only correct and others were not so clinically correct and also said that we did not believe him therefore we did the test outside. We only wanted to cross check the reports and we were not satisfied. You all can check other reviews related to the lab reports of this hospital are not so correct all the time, so I would suggest all to cross check the lab reports if you have a doubt.

I would admit that treatment we received while admitted in the hospital  was good but after treatment the behavior was not satisfactory.","Swaraj Behera","Health Village Hospital","1"
,"0","651","4.5",,,"Nurses &ward crew are doing excellent job.doctors conversation, treatment are the best thing.housekeeping are very good.Mostly night shift crew are one of the best crew .","tapan jali","Health Village Hospital","5"
,"3","651","4.5",,,"I have visited health village hospital for my mother’s surgery and I must say quality of the care process from admission to discharge is outstanding.
I am grateful to Dr Sourav Subham and his full medical team who processed my mother’s surgery successfully with constant care and support.
Special thanks to my mother’s nurses and staffs for nice treatment who made us feel like home.
Best part of this hospital which i liked the most is its cleanliness.","panda bithi","Health Village Hospital","5"
,"3","651","4.5",,,"Wonderful experience with Health Village Hospital. Dr. Chinmaya was a wonderful surgeon, and the staff was always helpful and kind. They ensured I had a smooth prep, surgery, and follow-up. I am so glad I chose Health Village Hospital  and would highly recommend to anyone.","subrat sahu","Health Village Hospital","5"
,"0","651","4.5",,,"I have recovered from severe fever due to yours care and Dr pratap kumar Singh guidance. Thus, I will remain ever greatful to this hospital and will recommend to my peers.","Gurudas Goutam Swain","Health Village Hospital","5"
,"0","651","4.5",,,"IT was really a very very new experience for me.

Fisrt of all I was picked up from my village which is a far place .

Immediately the system of experienced people worked . They took necessary action to make me free from the intolerable pain.

A quick shedule was made for me by the front office , and all activities started.

In three days I am now ready to be discharged.

All the doctor s, nursing staffs , and every one  treat us so well .

Really so happy and I wish HEALTH VILLAGE HOSPITAL TO REACH THE PICK, AND CARRY ON THE GOOD WORK.","Himansu sekhar Brahma","Health Village Hospital","5"
,"0","651","4.5",,,"Due to my father’s ligament injury I visited today.

In spite of busy schedule Shovan sir specially guided also help out of the box.

Really excellent service

All staff’s behaviour is very good & helpful also.

Thank you 🙏 Dr Shovan Kumar Rath⁩ sir .

Request everyone please visit once for any type of health related issue.

Best guidance & consultancy you will get.

*Forgot to take photo*","Siba Santosh khuntia","Health Village Hospital","5"
,"1","651","4.5",,,"It was a very good experience in terms of paramedical staff services and proper treatment.","Biswojit padhy","Health Village Hospital","4"
,"1","651","4.5",,,"Nice infrastructure for trauma care services.Team of experienced doctors and courteous staff make it a comfortable set up. All the best.

Update- Recently my mother was admitted in Health village for a week. The doctors and staff were awesome and took proper care with constant counseling. She recovered with required monitoring. Thanks HV team.","Soumyajit Mishra","Health Village Hospital","5"
,"2","13546","4.8",,,"Excellent care provide by all neonatal ICU sisters and doctors. special thanks to sr sanghamitra,sr priyadarshini,sr lipsa, sr Preeti,sr sonali, sr jyotirmayee, sr Amruta. Also special thanks to Dr. J.B Pradhan for treating of baby health. Also special thanks to security staff for good co-operative like (Kamala, rajalakshmi, debjani, laxmipriya, pratap). Thank you to the whole hospital team.","saumya ranjan behera","Manipal Hospitals, Bhubaneswar","5"
,"3","13546","4.8",,,"My Baby Admitted In The Bed No 2035 In Paediatric Ward.All Doctor Was Very Good 😊. Specially Thanks To Dr Janki,Dr Abhilipsha.Nursing Care Are Very Good and behaviour Is Most Appreciated.Dietician sheetal  Are Very Corporative.Houskeeping Service Also Good.","Ranjan Jena","Manipal Hospitals, Bhubaneswar","5"
,"2","13546","4.8",,,"The experience was amazing. @ MANIPAL , we all felt the place a home away from home…. A comfort zone for the mother , the newborn and the family members as well. The personal touch and care was overwhelming. High quality of professionalism could be noticed. Hospitality was excellent and exceptional from every angle. Wish the Hospital to continue its tradition of excellence in days ahead . Hats off to the Spirit of Team 4C👍","DAVUNIT-VIII BHUBANESWAR","Manipal Hospitals, Bhubaneswar","5"
,"2","13546","4.8",,,"One of the best hospitals in the city. Well equipped and well organised. Service was found it to be way better than other hospitals. There are cafeterias, coffee shops, ATMs, medical stores here. Ample parking space is available.","Suxant","Manipal Hospitals, Bhubaneswar","4"
,"1","13546","4.8",,,"Thank You Sister Shital, Sister Smita, Sister Mousumi, Sister Amruta, Sister Sanghamitra and other sisters for taking care of our Baby for the Past Ten days. Thank you for all your care and advices you given us for future to keep our baby healthy. We are truly grateful to you all. We are very much grateful for your professionalism and dedication to your duty. We wish you All the best for your career.

Thank You

Yashodhara & Ashutosh","ASHUTOSH BHAKAT","Manipal Hospitals, Bhubaneswar","5"
,"1","13546","4.8",,,"I appreciate your commitment to providing me with everything I needed during my recovery. Your kindness has made a difficult time more bearable. Nursing staff are very cooperative and humble sisters shradha ,swarupuni,Jharana,Priyanka,Mira,Debasis,Maneger Satya and all hospitality staffs as fabulous job. All good","sunil rout","Manipal Hospitals, Bhubaneswar","5"
,"1","13546","4.8",,,"I'd like to share my feedback regarding my recent blood donation experience at Manipal Hospital Bhubaneswar. This was not my first time donating blood, but my visit here was notably different.

The staff were exceptionally cooperative, making the entire process smooth and comfortable. Kudos to desk staff Payal and Sister Lizarani for doing amazing work. I was particularly impressed with the high standards of hygiene maintained throughout the blood bank.

Additionally, the attention to detail during the pre and post-donation formalities truly stood out. Thank you for the great service. I appreciate the efforts of the team in making blood donation a positive experience.","Ghanashyam Samal","Manipal Hospitals, Bhubaneswar","5"
,"1","13546","4.8",,,"I got admitted in Manipal hospital under Dr. AMIT JAISWAL for surgery of cervical spine. Dr.JAISWAL is a very good doctor as his consoling behaviour is very appreciative and welcoming. He spells magic with words that heal patients and brings hope and positive energy in the soul.

I would like to extend my heartfelt appreciation to SONALI TRIPATHY for her exceptional service in ICU. Her compassionate dedicated attitude towards the patient is truly remarkable.

KAMALA KUMARI PANIGRAHI, security personnel have excellent coordination with the patient attendants. She has shown great humane nature by listening to everyone heartily.

My heartfelt appreciation to LAXMIPRIYA MALLICK, housekeeping staff (4th floor) for her sincere attention to cleanliness of patient's room and common area.

I would also like to extend my heart felt appreciation to service of nursing sisters & brothers of 4th floor B- block for their dedication, positive attitude, professionalism & caring made significant during that challenging time. Mainly DIBYA, SARBESWAR, BARSHA, RAJASHREE,JIDAN, ANASUYA,JASMIN.

The canteen facilities provided by hospital is very good. They provide quality meals for patient.

Special thanks to Sri RITESH KUMAR SAHU, floor manager for his coordination and  service.","Swastik Behera","Manipal Hospitals, Bhubaneswar","5"
,"2","13546","4.8",,,"Thank you, nurse, for your outstanding care and unrelenting dedication to your patient. "" Your compassion and empathy have made a world of difference.
Thank you for being an amazing nurse.""  I am grateful for your kindness and support as a nurse.  Thankyou to sis anusaya madam sis jidan sis rajashree sahu housekeeping mita, laxmi f&b sudip, brijesh floor manager janmajaya bhai and small celebration by and special feel by patient experience Madhusmita madam thankyou all staff
And best experience.","Sonam Mishra","Manipal Hospitals, Bhubaneswar","5"
,"2","13546","4.8",,,"Amri Bhubaneswar ‘s services are quite healthy and had a great stay with excellent services by all staff members. Nursing services are really patient friendlt and quite empathetic.
Thanks a lot @ Janmejaya & Satya Floor Manager
Jasmin . Jidan & Anusaya
Good Team Work
Keep on doing good works","Saroj Dash","Manipal Hospitals, Bhubaneswar","5"
,"1","13546","4.8",,,"My father mr manoj  patro admitted in manipal hospital in ctvs icu,bed no- 1004 . Dr.Jitendra Nath patnaik  and all ctvs icu staff are very good and helpful.sister arpita ,sister ariya,sister ankita very helpful.","Rabindra Patra","Manipal Hospitals, Bhubaneswar","5"
,"0","13546","4.8",,,"My baby was admitted in bed no -2004 Many many thanks to all the neonatal staff whose take care of my baby very well.special thanks to sr Smita ,sr sheetal,sr mousumi,sr Smita,

sr Geeta,sr amruta,sr trupti, and thanks to all security staff

Thanks to Manipal hospital","Alok Behera","Manipal Hospitals, Bhubaneswar","5"
,"3","13546","4.8",,,"My Experience in Manipal hospital Bhubaneswar Was Very Good. Admission Procedure Was Good.My Bed No 2035 In Paediatric ward. Dr BN mishra Sir Is Most Preferable doctor,Behaviour is So Cool And Friendly mixing. All Nursing Staff Are Given Excellent Service. All Staff Behaviour Are Friendly and Like Family.Sr Priyanka, Smita, Namita, Mamata, Brother subhranshu, Dr Sashi, Smruti are Good.","Biswamadhuri Sahu","Manipal Hospitals, Bhubaneswar","5"
,"4","13546","4.8",,,"It's was an awesome experience here in AMRI, all admission procedure, diagnosis, nursing services and behaviour of Doctors as well as all staffs serving there are polite and helpful. Patient management system was very good. The price seems high with compare to other hospitals but as per my opinion it's okay as they're providing world class services here and you've not to worried about your patient once you get admitted here as all diagnosis, consultant, surgical procedures done by the respective team time to time without any inconveniences. You'll get admit your patient with pain here but left with happiness with full satisfaction. I would like to share my gratitude to Dr. Lalatendu Mahapatra for his extended support and care as my wife has gallstones surgery as she's suffering from last 3 years but effectively managed and taken care by Lalatendu sir and now she's doing well now.
Thank you so much Dr. Lalatendu sir 🙏","Gopal Kumar","Manipal Hospitals, Bhubaneswar","5"
,"0","13546","4.8",,,"Manipal is the best hospital my mother admitted under dr.j.k padhi (bed -3014) MICU -1 the doctor was very excellent his behaviour was so good and ICU nurses was very good ,nursing care was best and my heartfelt thanks to all nursing staff whose name are pushpalata, santoshini ,gaurav ,Amit ,sasmita,kalyani  all are very cooperative I did not found any tiredness in there face . Santoshini and puspalata such a good asset in your hospital and also thanks housekeeping staff damburu, floor manager mitali all are very cooperative to my mother ICU journey.","Lony Das","Manipal Hospitals, Bhubaneswar","5"
,"3","13546","4.8",,,"My Expreencess in Last 3 day in  AMARI HOSPITAL is so beautiful and so familiar..
Sister Shraddha,Anjali, Lipika, Swarupini,  and other staffs are very helpful and obedience... I didn't found any word to speak about Dr Sarthak Sir.
He is a very friendly and so kind behavior towards me.. God Bless all the AMARI staff always.. Finally for me  highly recommend to AMARI HOSPITAL and So much love ❤️.","laxmidhar sutar","Manipal Hospitals, Bhubaneswar","5"
,"0","13546","4.8",,,"Gone through arthroscopic acl reconstruction and getting discharged today. Dr. Sunil kumar Dash is one of the greatest arthroscopic surgeon in odisha. The  ultrasound guided block given by Dr. Chandra Shekhar pradhan got me pain free till discharge. The Orthopedics and physiotherapy team combined effort got me 90 degree knee bending and painfree walking on the first day postop. Heartfelt gratitude to the efforts and care given throughout the stay to :
Nursing :- Sister Mamata, sradha, lipika, swarupini, anjali
Patient experience dept. :- subhasini
House keeping :- Kalpana,  babita , rakesh

Kudos to Manipal / AMRI Hospital, Bhubaneshwar.","Dinesh Mishra","Manipal Hospitals, Bhubaneswar","5"
,"0","13546","4.8",,,"Recommended Manipal Hospital Bhubaneswar.

Special thanks to Dr. Monica Gupta ma'am.

All staff and Nurses are dedicated to the patient.

Thanks to labour room staff Golap, Sasmita, Ranjita and Kalpana.

Floor manager Biswajit is a  good and well behaved person.

I always recommend Manipal Hospital Bhubaneswar.","Arabinda Mahapatra","Manipal Hospitals, Bhubaneswar","5"
,"2","13546","4.8",,,"AMRI hospital has high quality patient services with state of art facilities and most importantly amazing doctors and staff. My mom was hospitalized here recently and we also opted for AMRI for my brothers surgery. Shoutout to Dr Sarat Kumar Behera and Dr Sunil Kumar Das! They take care of all the required needs for the patient and make sure they have no complaints and get healed and recover with sound health. Great job AMRI! Hoping to see you develop more in the future .thanks to all nurses,runu,madhu,chhabi,anusaya,jasmin,bhanu
H.k minati,Laxmi,Mita
Floor manager janmajaya ,
All your efforts and services are appreciated.","Shaheen Jamil","Manipal Hospitals, Bhubaneswar","5"
,"0","13546","4.8",,,"Thank you Nursing staff( Sis. Geeta, priyadarshini , samita , sarasvati, sheetal, Sanghamitra of neonatal ICU of Manipal Hospital Bhubaneswar for taking care of our prematurely born baby. We will always be thankful to all of yours.","Akansha Sinha","Manipal Hospitals, Bhubaneswar","5"
,"2","2313","4.6",,,"Sunshine Hospital is one of the best hospital in Bhubaneswar.  I had my father Heart treatment from Dr. Ritesh Acharya. He is the very dynamic personality and the best doctor. The Hospital is also very neat and clean and take care of the patient very well.","sunil mishra","Sunshine Hospital","5"
,"1","2313","4.6",,,"Doctors are very good no doubt but staffs are not. They didn't receive a single call in reseption.
Their staffs are irresponsible. I am only going there for the best doctors who helped a lot to my father to recover but seriously they need to teach professionalism to their staffs.","Sibani Sahoo","Sunshine Hospital","1"
,"4","2313","4.6",,,"Dr Swtank Dash is the best doctor for heart problem. Sunshine Hospital is the best Hospital of Bhubaneswar. I'm very much thankful to the doctor & the Hospital. I got new life here when I almost lost my hope. I will recommend Sunshine Hospital everyone who's suffering from heart problem.","Kailash Rout","Sunshine Hospital","5"
,"2","2313","4.6",,,"I'm 65 yrs old.
I'm suffering from peripheral neuropathy so visited this hospital.

The doctor advised for MRI on the first visit. MRI cost is nearly 10000 rupees in this hospital.
The lady in the reception insisted on giving 5 star rating   in the first visit. She even wanted to help me by taking my phone and giving 5 star rating herself on my behalf.
Another lady insist on taking your prescription for you to the in house medicine store where you won't get any discount.
Visited this hospital twice. Since didn't get any relief from the pain by the medicine so stopped going there. Of course didn't fall in to the trap of doing MRI.

Visited a professor of neurology from SCB medical Cuttack and got recovered in two months just by medicine without MRI.

Moral is we are not appreciating hospitals for doctors or staff behaviour but proper medication without spending unnecessarily.","ashok pradhan","Sunshine Hospital","2"
,"1","2313","4.6",,,"I am very thankful to Dr. Roshan Sahu who is very helpful and taken care till discharge. The service from other staffs including cleaning and dietician is also very nice. All of them having polite behaviour who helped a lot in treatment and suggest me the methods for faster recovery.

Thank you Sunshine Hospital.","Aniket Mohapatra","Sunshine Hospital","5"
,"3","2313","4.6",,,"Dr. Roshan Sahu( Neurosurgery) is a excellent doctor who had done my father's neurosurgery operation. Immediately proceeded my father's operation. No time waste. Daily visit to patient after operation and if you want to talk then you can talk in opd dept. Very cooperative doctor and listin to your problems carefully. Thank you for the excellent treatment sir. 😇🙂","Chandan Kumar Mahalik","Sunshine Hospital","5"
,"1","2313","4.6",,,"Very nice hospital. Attention towards patient is awesome. Dr. Ritesh Acharya (Cardiologist) is one of the best doctor who is so kind, adorable and caring. His sweet words can heal diseases. Nurses of emergency ward are also so kind and attentive. Strongly recommend.","Shibabrata Nanda","Sunshine Hospital","5"
